"","Eptesicus nilssonii","Eptesicus serotinus","Miniopterus schreibersii","Myotis bechsteinii","Myotis blythii","Myotis capaccinii","Myotis dasycneme","Myotis emarginatus","Myotis daubentonii","Myotis myotis","Myotis mystacinus","Myotis nattereri","Nyctalus noctula","Pipistrellus nathusii","Pipistrellus pipistrellus","Pipistrellus pygmaeus","Plecotus auritus","Rhinolophus blasii","Rhinolophus euryale","Rhinolophus ferrumequinum","Rhinolophus mehelyi"
"Eptesicus nilssonii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"Eptesicus serotinus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Miniopterus schreibersii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis bechsteinii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis blythii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis capaccinii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis dasycneme",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Myotis emarginatus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis daubentonii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis myotis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis mystacinus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myotis nattereri",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Nyctalus noctula",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pipistrellus nathusii",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pipistrellus pipistrellus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pipistrellus pygmaeus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Plecotus auritus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rhinolophus blasii",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rhinolophus euryale",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rhinolophus ferrumequinum",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Rhinolophus mehelyi",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
