Summary Statistic,nick,mean,median,95% HPD Interval,lower,upper,effective sample size (ESS),Summary Statistic,mean (p_k),effective sample size (ESS),(1-p_k),(q_k),(1-q_k),BF,least,most,total
Species.rates.Ept.nil.Ept.ser,Ept.nil_Ept.ser,0.4715,0.3661,"[4.745E-3, 1.212]",4.75E-003,1.212,1560.7374,Species.indicators.Ept.nil.Ept.ser,0.9675,905.3254,0.0325,0.1037250485,0.8962749515,257.2321367193,1,10,11
Species.rates.Ept.ser.Myo.das,Ept.ser_Myo.das,1.4166,1.3119,"[0.0704, 2.747]",0.0704,2.747,1273.6788,Species.indicators.Ept.ser.Myo.das,0.9185,222.2046,0.0815,0.1037250485,0.8962749515,97.3821064503,10,80,90
Species.rates.Ept.ser.Myo.dau,Ept.ser_Myo.dau,1.0011,0.8128,"[5.8196E-5, 2.5994]",5.82E-005,2.5994,1981.4759,Species.indicators.Ept.ser.Myo.dau,0.4059,190.9351,0.5941,0.1037250485,0.8962749515,5.9036025475,10,57,67
Species.rates.Ept.ser.Myo.ema,Ept.ser_Myo.ema,1.2944,1.1636,"[1.2386E-3, 2.7886]",1.24E-003,2.7886,1623.009,Species.indicators.Ept.ser.Myo.ema,0.7292,60.5289,0.2708,0.1037250485,0.8962749515,23.267815557,10,18,28
Species.rates.Ept.ser.Myo.mys,Ept.ser_Myo.mys,0.7514,0.4631,"[4.6218E-4, 2.4584]",4.62E-004,2.4584,1040.103,Species.indicators.Ept.ser.Myo.mys,0.3931,203.8712,0.6069,0.1037250485,0.8962749515,5.5968480829,1,10,11
Species.rates.Ept.ser.Pip.nat,Ept.ser_Pip.nat,1.0169,0.8738,"[9.0089E-4, 2.306]",9.01E-004,2.306,1770.2334,Species.indicators.Ept.ser.Pip.nat,0.7017,36.7321,0.2983,0.1037250485,0.8962749515,20.3261832067,10,26,36
Species.rates.Ept.ser.Ple.aur,Ept.ser_Ple.aur,0.8124,0.5894,"[3.1725E-5, 2.3405]",3.17E-005,2.3405,815.9011,Species.indicators.Ept.ser.Ple.aur,0.5665,32.456,0.4335,0.1037250485,0.8962749515,11.2919364399,5,10,15
Species.rates.Min.sch.Myo.bly,Min.sch_Myo.bly,1.0681,0.8621,"[4.477E-4, 2.7776]",4.48E-004,2.7776,1571.3421,Species.indicators.Min.sch.Myo.bly,0.3198,353.2473,0.6802,0.1037250485,0.8962749515,4.0625567841,38,117,155
Species.rates.Min.sch.Myo.cap,Min.sch_Myo.cap,0.7438,0.4188,"[1.3808E-4, 2.5421]",1.38E-004,2.5421,745.0011,Species.indicators.Min.sch.Myo.cap,0.3587,292.7939,0.6413,0.1037250485,0.8962749515,4.8331219037,1,117,118
Species.rates.Min.sch.Myo.dau,Min.sch_Myo.dau,1.4034,1.3181,"[0.0623, 2.7433]",0.0623,2.7433,1445.9387,Species.indicators.Min.sch.Myo.dau,0.8878,332.6779,0.1122,0.1037250485,0.8962749515,68.3722538364,57,117,174
Species.rates.Min.sch.Rhi.eur,Min.sch_Rhi.eur,0.6508,0.5161,"[4.2531E-3, 1.5907]",2.53E-004,1.5907,1512.2744,Species.indicators.Min.sch.Rhi.eur,0.8248,347.6362,0.1752,0.1037250485,0.8962749515,40.6791774739,30,117,147
Species.rates.Myo.bec.Myo.dau,Myo.bec_Myo.dau,0.8984,0.6702,"[9.9491E-5, 2.5281]",9.95E-005,2.5281,1987.1414,Species.indicators.Myo.bec.Myo.dau,0.3284,492.7254,0.6716,0.1037250485,0.8962749515,4.2252272643,13,57,70
Species.rates.Myo.bec.Myo.myo,Myo.bec_Myo.myo,1.017,0.8684,"[1.3398E-3, 2.3955]",1.34E-003,2.3955,2076.9721,Species.indicators.Myo.bec.Myo.myo,0.6201,129.576,0.3799,0.1037250485,0.8962749515,14.1042517223,13,26,39
Species.rates.Myo.bly.Myo.dau,Myo.bly_Myo.dau,1.5828,1.4599,"[2.3047E-4, 3.3016]",2.30E-004,3.3016,531.5675,Species.indicators.Myo.bly.Myo.dau,0.8039,429.9066,0.1961,0.1037250485,0.8962749515,35.4227315233,38,57,95
Species.rates.Myo.bly.Myo.ema,Myo.bly_Myo.ema,1.513,1.3969,"[0.3142, 2.9858]",0.3142,2.9858,2801.6159,Species.indicators.Myo.bly.Myo.ema,0.9992,1954.7415,0.0008,0.1037250485,0.8962749515,10792.4501393041,18,38,56
Species.rates.Myo.bly.Myo.myo,Myo.bly_Myo.myo,1.9609,1.8321,"[0.4344, 3.7437]",0.4344,3.7437,1561.4139,Species.indicators.Myo.bly.Myo.myo,0.9975,3123.7196,0.0025,0.1037250485,0.8962749515,3447.7082510669,26,38,64
