Eptesicus nilssonii,Eptesicus serotinus,Miniopterus schreibersii,Myotis bechsteinii,Myotis blythii,Myotis capaccinii,Myotis dasycneme,Myotis emarginatus,Myotis daubentonii,Myotis myotis,Myotis mystacinus,Myotis nattereri,Nyctalus noctula,Pipistrellus nathusii,Pipistrellus pipistrellus,Pipistrellus pygmaeus,Plecotus auritus,Rhinolophus blasii,Rhinolophus euryale,Rhinolophus ferrumequinum,Rhinolophus mehelyi
1,0.109089282,0.010399595,0.064464975,0.019267614,0.002977867,0.42312021,0.476445171,0.030915771,0.063652467,0.198900845,0.157732617,0.228300886,0.221639515,0.126672852,0.087339259,0.268544762,0,0.00402629,0.020657334,0
0.109089282,1,0.273257611,0.22259296,0.305447136,0.090598034,0.130834228,0.232195747,0.315124323,0.334192007,0.262917467,0.403449313,0.422709298,0.374247371,0.607724419,0.129958394,0.367848526,0.078904199,0.21645093,0.353474233,0.132062863
0.010399595,0.273257611,1,0.285205473,0.401149249,0.278443333,0.01391365,0.083381282,0.410578846,0.486058987,0.240914268,0.310450651,0.144963119,0.197445668,0.25031203,0.127255776,0.184388531,0.120626436,0.54980474,0.299495825,0.361022484
0.064464975,0.22259296,0.285205473,1,0.214318155,0.17539099,0.068497802,0.136418426,0.405792182,0.622484421,0.388041085,0.413290707,0.266162869,0.349108215,0.231676968,0.239272389,0.324038655,0.048473242,0.25855407,0.191454525,0.07198562
0.019267614,0.305447136,0.401149249,0.214318155,1,0.170538502,0.024742211,0.091142945,0.411005038,0.363095674,0.194085124,0.276144308,0.203569435,0.178594499,0.353058552,0.090103373,0.165377156,0.238406767,0.320311265,0.464920292,0.168751125
0.002977867,0.090598034,0.278443333,0.17539099,0.170538502,1,0.002174661,0.029402215,0.214103454,0.221976424,0.098672637,0.148265325,0.075942348,0.10307786,0.095468807,0.043544648,0.08422913,0.140794647,0.345828097,0.11932204,0.187066424
0.42312021,0.130834228,0.01391365,0.068497802,0.024742211,0.002174661,1,0.345578084,0.028727262,0.083982711,0.198297027,0.214557698,0.284905243,0.32160222,0.161315014,0.08421638,0.30688569,0.001831397,0.004936069,0.014505942,0
0.476445171,0.232195747,0.083381282,0.136418426,0.091142945,0.029402215,0.345578084,1,0.11853639,0.160380573,0.244922409,0.285842418,0.346456727,0.342534542,0.267274321,0.114947365,0.387603267,0.010698268,0.063701858,0.103178657,0.030407922
0.030915771,0.315124323,0.410578846,0.405792182,0.411005038,0.214103454,0.028727262,0.11853639,1,0.470167015,0.285772136,0.385640923,0.223718219,0.256530572,0.315295809,0.155393285,0.256488331,0.159370278,0.405747245,0.32532456,0.203907081
0.063652467,0.334192007,0.486058987,0.622484421,0.363095674,0.221976424,0.083982711,0.160380573,0.470167015,1,0.43034846,0.512877415,0.284276637,0.372035231,0.347979217,0.223961898,0.356849252,0.061843953,0.37272649,0.298010103,0.140035447
0.198900845,0.262917467,0.240914268,0.388041085,0.194085124,0.098672637,0.198297027,0.244922409,0.285772136,0.43034846,1,0.472959566,0.350709003,0.443216188,0.301273643,0.231240643,0.460801805,0.037306873,0.163335391,0.180069759,0.083022164
0.157732617,0.403449313,0.310450651,0.413290707,0.276144308,0.148265325,0.214557698,0.285842418,0.385640923,0.512877415,0.472959566,1,0.500872523,0.638107475,0.482124955,0.307650908,0.642539049,0.072863366,0.295313638,0.248179636,0.114216413
0.228300886,0.422709298,0.144963119,0.266162869,0.203569435,0.075942348,0.284905243,0.346456727,0.223718219,0.284276637,0.350709003,0.500872523,1,0.652781711,0.458115354,0.16797194,0.613454779,0.051117759,0.113551333,0.189382063,0.042152409
0.221639515,0.374247371,0.197445668,0.349108215,0.178594499,0.10307786,0.32160222,0.342534542,0.256530572,0.372035231,0.443216188,0.638107475,0.652781711,1,0.454976713,0.222187125,0.77651076,0.035030718,0.149232333,0.159217936,0.047753941
0.126672852,0.607724419,0.25031203,0.231676968,0.353058552,0.095468807,0.161315014,0.267274321,0.315295809,0.347979217,0.301273643,0.482124955,0.458115354,0.454976713,1,0.164198825,0.443626815,0.099583672,0.213438327,0.403997198,0.112306547
0.087339259,0.129958394,0.127255776,0.239272389,0.090103373,0.043544648,0.08421638,0.114947365,0.155393285,0.223961898,0.231240643,0.307650908,0.16797194,0.222187125,0.164198825,1,0.247648375,0.007365175,0.112908097,0.085128539,0.078438869
0.268544762,0.367848526,0.184388531,0.324038655,0.165377156,0.08422913,0.30688569,0.387603267,0.256488331,0.356849252,0.460801805,0.642539049,0.613454779,0.77651076,0.443626815,0.247648375,1,0.031709356,0.154027485,0.159052265,0.039498923
0,0.078904199,0.120626436,0.048473242,0.238406767,0.140794647,0.001831397,0.010698268,0.159370278,0.061843953,0.037306873,0.072863366,0.051117759,0.035030718,0.099583672,0.007365175,0.031709356,1,0.172137228,0.195095148,0.174845371
0.00402629,0.21645093,0.54980474,0.25855407,0.320311265,0.345828097,0.004936069,0.063701858,0.405747245,0.37272649,0.163335391,0.295313638,0.113551333,0.149232333,0.213438327,0.112908097,0.154027485,0.172137228,1,0.270065455,0.326595845
0.020657334,0.353474233,0.299495825,0.191454525,0.464920292,0.11932204,0.014505942,0.103178657,0.32532456,0.298010103,0.180069759,0.248179636,0.189382063,0.159217936,0.403997198,0.085128539,0.159052265,0.195095148,0.270065455,1,0.128447775
0,0.132062863,0.361022484,0.07198562,0.168751125,0.187066424,0,0.030407922,0.203907081,0.140035447,0.083022164,0.114216413,0.042152409,0.047753941,0.112306547,0.078438869,0.039498923,0.174845371,0.326595845,0.128447775,1
