V1,V2,weight
Ept.nil,Ept.ser,257.2321367193
Ept.ser,Myo.das,97.3821064503
Ept.ser,Myo.dau,5.9036025475
Ept.ser,Myo.ema,23.267815557
Ept.ser,Myo.mys,5.5968480829
Ept.ser,Pip.nat,20.3261832067
Ept.ser,Ple.aur,11.2919364399
Min.sch,Myo.bly,4.0625567841
Min.sch,Myo.cap,4.8331219037
Min.sch,Myo.dau,68.3722538364
Min.sch,Rhi.eur,40.6791774739
Myo.bec,Myo.dau,4.2252272643
Myo.bec,Myo.myo,14.1042517223
Myo.bly,Myo.dau,35.4227315233
Myo.bly,Myo.ema,10792.4501393041
Myo.bly,Myo.myo,3447.7082510669
Myo.bly,Rhi.fer,22.9412646526
Myo.das,Myo.dau,4.1585240348
Myo.das,Myo.ema,4.7891439912
Myo.das,Pip.nat,4.0756434665
Myo.das,Ple.aur,4.8268217191
Myo.dau,Myo.myo,30.9416870148
Myo.dau,Pip.pyg,7.0157186194
Myo.myo,Myo.nat,48.62137245
Myo.myo,Pip.pyg,4.1113007583
Nyc.noc,Pip.nat,58.4466490047
Pip.nat,Pip.pip,545.2612303756
Rhi.bla,Rhi.eur,76.073566501
Rhi.eur,Rhi.fer,1.00E+10
Rhi.eur,Rhi.meh,335.6170080545
