,Arg.ves,Bas.nan,Bas.nat,Cim.pip,Isc.var,Ixo.ari,Mac.sp4,Nyb.kol,Nyb.sch,Pen.con,Pen.duf,Pht.bia,Spi.sp2,Spi.and,Spi.kol,Spi.myo,Spi.ple
Ept.nil,6,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,5
Ept.ser,12,0,5,2,2,0,0,5,1,0,1,1,0,0,10,2,2
Min.sch,0,1,0,0,0,0,0,3,35,29,26,9,0,0,0,7,0
Myo.bec,1,32,3,1,0,2,0,9,3,0,0,0,0,1,0,0,0
Myo.bly,2,3,0,2,0,1,0,2,8,5,26,4,0,1,1,18,0
Myo.cap,0,0,0,0,0,0,0,1,7,3,19,4,0,0,0,8,0
Myo.das,4,5,0,5,2,1,1,5,0,0,1,1,0,4,0,6,0
Myo.dau,3,5,4,7,1,2,0,39,11,3,5,2,0,19,1,10,2
Myo.ema,0,3,1,4,0,1,0,1,0,0,4,1,0,0,0,5,0
Myo.myo,7,14,2,13,1,2,0,12,16,8,31,11,0,3,0,30,1
Myo.mys,7,4,2,2,1,0,0,5,1,1,0,0,0,1,1,4,2
Myo.nat,3,15,15,4,1,1,0,12,0,0,4,0,0,3,0,13,1
Nyc.noc,5,0,0,8,4,0,0,2,0,0,0,0,1,1,2,1,5
Pip.nat,7,0,0,1,6,0,0,0,0,0,0,0,1,1,1,2,0
Pip.pip,32,1,0,3,2,0,0,4,6,0,0,3,0,1,0,2,0
Pip.pyg,6,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Ple.aur,5,6,4,0,1,3,0,3,2,1,1,4,0,0,1,5,19
Rhi.bla,0,0,0,0,0,0,0,0,1,2,3,13,0,0,0,0,0
Rhi.eur,1,0,0,0,0,0,0,0,5,7,8,16,0,0,0,2,0
Rhi.fer,2,1,0,1,0,0,0,3,7,2,6,33,0,0,0,3,4
Rhi.meh,0,0,0,0,0,0,0,0,4,0,1,9,0,0,0,1,0
