host,para,c.col,weight
Ept.ser,OTU1,#bebebe20,0.015625
Min.sch,OTU1,#e7298a20,0.289156627
Myo.bly,OTU1,#e7298a80,0.020618557
Myo.dau,OTU1,#bebebe20,0.017857143
Pip.pyg,OTU1,#bebebe20,0.01754386
Rhi.eur,OTU1,#bebebe,0.011764706
Min.sch,OTU2,#e7298a20,0.082644628
Min.sch,OTU3,#bebebe20,0.140350877
Myo.bec,OTU3,#1b9e7720,0.04109589
Myo.bly,OTU3,#bebebe80,0.029411765
Myo.dau,OTU3,#1b9e7720,0.11965812
Myo.myo,OTU3,#bebebe80,0.11627907
Myo.nat,OTU3,#1b9e7720,0.046875
Rhi.fer,OTU3,#bebebe,0.038461538
Rhi.eur,OTU4,#7570b3,0.227272727
Rhi.fer,OTU4,#7570b3,0.09375
Rhi.meh,OTU4,#7570b3,0.052631579
Rhi.meh,OTU5,#7570b3,0.285714286
Myo.bly,OTU11,#bebebe80,0.038461538
Rhi.bla,OTU11,#7570b3,0.076923077
Rhi.eur,OTU11,#7570b3,0.05
Rhi.fer,OTU11,#7570b3,0.142857143
Rhi.meh,OTU11,#7570b3,0.066666667
Min.sch,OTU16,#bebebe20,0.007352941
Rhi.bla,OTU16,#7570b3,0.071428571
Rhi.eur,OTU16,#7570b3,0.309090909
Rhi.fer,OTU16,#7570b3,0.093023256
Rhi.meh,OTU16,#7570b3,0.033333333
Ept.ser,OTU19,#bebebe20,0.015384615
Min.sch,OTU19,#bebebe20,0.004310345
Myo.bec,OTU19,#bebebe80,0.037313433
Myo.bly,OTU19,#bebebe,0.134969325
Myo.das,OTU19,#d95f0280,0.243781095
Myo.dau,OTU19,#bebebe80,0.101123596
Myo.ema,OTU19,#bebebe80,0.043165468
Myo.myo,OTU19,#bebebe,0.047619048
Nyc.noc,OTU19,#d95f0280,0.008064516
Pip.nat,OTU19,#d95f0280,0.013888889
Pip.pip,OTU19,#d95f0280,0.024
Ple.aur,OTU19,#bebebe80,0.03968254
Min.sch,OTU20,#bebebe20,0.016393443
Myo.bly,OTU20,#bebebe,0.018867925
Myo.ema,OTU20,#a6761d80,0.275862069
Myo.das,OTU21,#d95f0280,0.012195122
Pip.nat,OTU21,#d95f0280,0.04
Ept.ser,EsSk,#66a61e20,0.1
Min.sch,OTU22,#bebebe20,0.008474576
Myo.dau,OTU22,#1b9e77,0.09375
Min.sch,OTU24,#bebebe20,0.02189781
Myo.bec,OTU24,#1b9e7780,0.076923077
Myo.bly,OTU24,#bebebe80,0.102941176
Myo.dau,OTU24,#1b9e7780,0.072289157
Myo.myo,OTU24,#bebebe,0.115384615
Myo.nat,OTU24,#1b9e77,0.033333333
Myo.ema,OTU25,#bebebe,0.045454545
Rhi.fer,OTU25,#7570b320,0.136363636
Ept.nil,OTU26,#bebebe80,0.016949153
Ept.ser,OTU26,#bebebe80,0.059701493
Myo.bly,OTU26,#bebebe,0.01
Myo.das,OTU26,#d95f0220,0.173913043
Myo.dau,OTU26,#bebebe80,0.026086957
Myo.ema,OTU26,#bebebe80,0.026315789
Myo.mys,OTU26,#d95f0280,0.016949153
Nyc.noc,OTU26,#d95f02,0.016393443
Pip.nat,OTU26,#d95f0280,0.24691358
Pip.pip,OTU26,#d95f0280,0.016129032
Nyc.noc,OTU27,#d95f0280,0.25
Min.sch,OTU31,#e7298a20,0.147887324
Myo.bly,OTU31,#e7298a80,0.02739726
Myo.cap,OTU31,#e7298a,0.03125
Myo.dau,OTU31,#bebebe,0.034090909
Myo.myo,OTU31,#e7298a,0.035087719
Pip.pyg,OTU31,#bebebe20,0.03030303
Rhi.fer,OTU31,#bebebe20,0.020408163
Myo.bec,OTU32,#1b9e77,0.1
Myo.dau,OTU32,#1b9e77,0.078125
Ept.ser,OTU33,#bebebe20,0.058823529
Myo.das,OTU33,#d95f02,0.068181818
Myo.ema,OTU33,#bebebe80,0.038461538
Myo.bly,OTU42,#e7298a,0.044444444
Myo.myo,OTU42,#e7298a,0.034482759
