id1,id2,weight,community,color
1,38,0.090909091,none,#bebebe90
1,39,0.15,none,#bebebe90
1,40,0.012195122,none,#bebebe90
1,41,0.021052632,none,#bebebe90
1,42,0.057142857,VespB,#d95f0290
1,43,0.023622047,none,#bebebe90
1,44,0.053435115,none,#bebebe90
1,45,0.101449275,VespB,#d95f0290
1,46,0.030612245,none,#bebebe90
1,47,0.071428571,VespB,#d95f0290
1,48,0.114754098,VespB,#d95f0290
1,49,0.340425532,VespB,#d95f0290
1,50,0.101694915,VespB,#d95f0290
1,51,0.056818182,none,#bebebe90
1,52,0.014492754,none,#bebebe90
1,53,0.023809524,none,#bebebe90
2,54,0.011111111,none,#bebebe90
2,40,0.395061728,VespA,#1b9e7790
2,41,0.031914894,none,#bebebe90
2,42,0.072463768,none,#bebebe90
2,43,0.03968254,VespA,#1b9e7790
2,55,0.048387097,none,#bebebe90
2,44,0.107692308,none,#bebebe90
2,45,0.058823529,none,#bebebe90
2,46,0.154639175,VespA,#1b9e7790
2,49,0.010752688,none,#bebebe90
2,51,0.068965517,none,#bebebe90
2,53,0.012048193,none,#bebebe90
3,39,0.090909091,none,#bebebe90
3,40,0.052631579,VespA,#1b9e7790
3,43,0.039215686,VespA,#1b9e7790
3,55,0.026315789,none,#bebebe90
3,44,0.018867925,none,#bebebe90
3,45,0.045454545,none,#bebebe90
3,46,0.205479452,VespA,#1b9e7790
3,51,0.063492063,none,#bebebe90
4,39,0.032786885,none,#bebebe90
4,40,0.015873016,none,#bebebe90
4,41,0.026315789,none,#bebebe90
4,42,0.098039216,VespB,#d95f0290
4,43,0.064814815,none,#bebebe90
4,55,0.090909091,none,#bebebe90
4,44,0.116071429,none,#bebebe90
4,45,0.04,VespB,#d95f0290
4,46,0.050632911,none,#bebebe90
4,47,0.156862745,VespB,#d95f0290
4,48,0.023809524,VespB,#d95f0290
4,49,0.04,VespB,#d95f0290
4,50,0.175,VespB,#d95f0290
4,53,0.015384615,none,#bebebe90
5,38,0.03125,none,#bebebe90
5,39,0.043478261,none,#bebebe90
5,42,0.055555556,VespB,#d95f0290
5,43,0.010752688,none,#bebebe90
5,44,0.010309278,none,#bebebe90
5,45,0.028571429,VespB,#d95f0290
5,46,0.015625,none,#bebebe90
5,47,0.111111111,VespB,#d95f0290
5,48,0.222222222,VespB,#d95f0290
5,49,0.033333333,VespB,#d95f0290
5,51,0.018518519,none,#bebebe90
6,40,0.048780488,none,#bebebe90
6,41,0.018518519,none,#bebebe90
6,42,0.034482759,VespB,#d95f0290
6,43,0.023255814,none,#bebebe90
