"","Eptesicus nilssonii","Eptesicus serotinus","Miniopterus schreibersii","Myotis bechsteinii","Myotis blythii","Myotis capaccinii","Myotis dasycneme","Myotis emarginatus","Myotis daubentonii","Myotis myotis","Myotis mystacinus","Myotis nattereri","Nyctalus noctula","Pipistrellus nathusii","Pipistrellus pipistrellus","Pipistrellus pygmaeus","Plecotus auritus","Rhinolophus blasii","Rhinolophus euryale","Rhinolophus ferrumequinum","Rhinolophus mehelyi"
"Eptesicus nilssonii",0,200.803369649651,1127.52710579768,1224.0276659105,867.311233829678,1388.86088127006,750.334760882425,400.758346498219,1035.93206317008,1076.59040757396,875.322071902401,806.711611938263,548.519357571753,775.95574302664,250.06022938285,1271.84721004798,677.173629609793,1193.34614847472,1204.03132411369,528.858854634929,1317.94538824163
"Eptesicus serotinus",200.803369649651,0,926.723736148025,1023.22429626085,666.507864180027,1188.05751162041,549.531391232774,601.56171614787,835.128693520425,875.78703792431,674.51870225275,605.908242288612,347.715987922101,575.152373376988,49.2568597331988,1071.04384039833,476.370259960142,992.542778825067,1003.22795446404,328.055484985277,1117.14201859198
"Miniopterus schreibersii",1127.52710579768,926.723736148025,0,96.5005601128264,260.215871967999,261.333775472385,377.192344915252,1528.2854522959,91.5950426275999,50.9366982237157,252.205033895275,320.815493859413,579.007748225924,351.571362771037,877.466876414827,144.320104250304,450.353476187884,65.8190426770415,76.5042183160153,598.668251162748,190.418282443956
"Myotis bechsteinii",1224.0276659105,1023.22429626085,96.5005601128264,0,356.716432080825,164.833215359559,473.692905028078,1624.78601240872,188.095602740426,147.437258336542,348.705594008102,417.31605397224,675.50830833875,448.071922883863,973.967436527653,47.819544137478,546.85403630071,30.6815174357849,19.9963417968111,695.168811275574,93.9177223311291
"Myotis blythii",867.311233829678,666.507864180027,260.215871967999,356.716432080825,0,521.549647440384,116.976472947253,1268.0695803279,168.620829340399,209.279173744283,8.01083807272323,60.5996218914146,318.791876257925,91.3554908030384,617.251004446828,404.535976218303,190.137604219885,326.03491464504,336.720090284014,338.452379194749,450.634154411954
"Myotis capaccinii",1388.86088127006,1188.05751162041,261.333775472385,164.833215359559,521.549647440384,0,638.526120387637,1789.61922776828,352.928818099985,312.270473696101,513.53880936766,582.149269331798,840.341523698309,612.905138243422,1138.80065188721,117.013671222081,711.687251660269,195.514732795344,184.82955715637,860.002026635133,70.9154930284295
"Myotis dasycneme",750.334760882425,549.531391232774,377.192344915252,473.692905028078,116.976472947253,638.526120387637,0,1151.09310738064,285.597302287652,326.255646691536,124.987311019976,56.3768510558385,201.815403310672,25.6209821442147,500.274531499575,521.512449165556,73.1611312726318,443.011387592293,453.696563231267,221.475906247496,567.610627359207
"Myotis emarginatus",400.758346498219,601.56171614787,1528.2854522959,1624.78601240872,1268.0695803279,1789.61922776828,1151.09310738064,0,1436.6904096683,1477.34875407218,1276.08041840062,1207.46995843648,949.277704069972,1176.71408952486,650.818575881069,1672.6055565462,1077.93197610801,1594.10449497294,1604.78967061191,929.617201133148,1718.70373473985
"Myotis daubentonii",1035.93206317008,835.128693520425,91.5950426275999,188.095602740426,168.620829340399,352.928818099985,285.597302287652,1436.6904096683,0,40.6583444038842,160.609991267675,229.220451231813,487.412705598324,259.976320143437,785.871833787227,235.915146877904,358.758433560284,157.414085304641,168.099260943615,507.073208535148,282.013325071555
"Myotis myotis",1076.59040757396,875.78703792431,50.9366982237157,147.437258336542,209.279173744283,312.270473696101,326.255646691536,1477.34875407218,40.6583444038842,0,201.26833567156,269.878795635697,528.071050002208,300.634664547321,826.530178191111,195.25680247402,399.416777964168,116.755740900757,127.440916539731,547.731552939032,241.354980667671
"Myotis mystacinus",875.322071902401,674.51870225275,252.205033895275,348.705594008102,8.01083807272323,513.53880936766,124.987311019976,1276.08041840062,160.609991267675,201.26833567156,0,68.6104599641378,326.802714330649,99.3663288757616,625.261842519551,396.52513814558,198.148442292608,318.024076572317,328.709252211291,346.463217267472,442.623316339231
"Myotis nattereri",806.711611938263,605.908242288612,320.815493859413,417.31605397224,60.5996218914146,582.149269331798,56.3768510558385,1207.46995843648,229.220451231813,269.878795635697,68.6104599641378,0,258.192254366511,30.7558689116238,556.651382555413,465.135598109718,129.53798232847,386.634536536455,397.319712175429,277.852757303335,511.233776303369
"Nyctalus noctula",548.519357571753,347.715987922101,579.007748225924,675.50830833875,318.791876257925,840.341523698309,201.815403310672,949.277704069972,487.412705598324,528.071050002208,326.802714330649,258.192254366511,0,227.436385454887,298.459128188902,723.327852476228,128.654272038041,644.826790902966,655.511966541939,19.6605029368238,769.42603066988
"Pipistrellus nathusii",775.95574302664,575.152373376988,351.571362771037,448.071922883863,91.3554908030384,612.905138243422,25.6209821442147,1176.71408952486,259.976320143437,300.634664547321,99.3663288757616,30.7558689116238,227.436385454887,0,525.89551364379,495.891467021341,98.7821134168465,417.390405448078,428.075581087052,247.096888391711,541.989645214993
"Pipistrellus pipistrellus",250.06022938285,49.2568597331988,877.466876414827,973.967436527653,617.251004446828,1138.80065188721,500.274531499575,650.818575881069,785.871833787227,826.530178191111,625.261842519551,556.651382555413,298.459128188902,525.89551364379,0,1021.78698066513,427.113400226943,943.285919091868,953.971094730842,278.798625252079,1067.88515885878
"Pipistrellus pygmaeus",1271.84721004798,1071.04384039833,144.320104250304,47.819544137478,404.535976218303,117.013671222081,521.512449165556,1672.6055565462,235.915146877904,195.25680247402,396.52513814558,465.135598109718,723.327852476228,495.891467021341,1021.78698066513,0,594.673580438188,78.501061573263,67.8158859342891,742.988355413052,46.0981781936511
