"","Eptesicus nilssonii","Eptesicus serotinus","Miniopterus schreibersii","Myotis bechsteinii","Myotis blythii","Myotis capaccinii","Myotis dasycneme","Myotis emarginatus","Myotis daubentonii","Myotis myotis","Myotis mystacinus","Myotis nattereri","Nyctalus noctula","Pipistrellus nathusii","Pipistrellus pipistrellus","Pipistrellus pygmaeus","Plecotus auritus","Rhinolophus blasii","Rhinolophus euryale","Rhinolophus ferrumequinum","Rhinolophus mehelyi"
"Eptesicus nilssonii",1519.67008719931,279.196585657009,19.6774440318365,109.936989838555,41.0587112286548,4.9003151854453,680.564048451171,1110.11120472062,60.0795018452123,117.457410835068,359.016369341708,304.179341628594,462.961970591268,410.641127883334,313.601278408748,141.971813210616,500.059178781671,0,7.35985207746276,50.8102456787167,0
"Eptesicus serotinus",279.196585657008,1318.86671754965,367.204891315196,293.947682896637,461.225267937791,120.427310630233,241.598897809093,610.414830623969,431.932242775454,441.337078152158,408.707186147611,584.088410423332,680.400184054158,561.700575619836,978.451533188956,180.187575417621,581.244372792736,120.318793196439,290.838061907702,603.197033049429,177.387371731195
"Miniopterus schreibersii",19.6774440318365,367.204891315196,392.142981401629,152.62941622108,299.041038708671,113.898321675399,15.9386382365486,177.984587258546,254.943715597859,273.183961006403,201.227011507039,261.802660553588,172.605829270793,187.290425035858,332.682336132715,72.2456728100985,192.211716556124,77.3371940179696,251.090829623709,318.7305457862,157.52831994223
"Myotis bechsteinii",109.936989838555,293.947682896632,152.629416221079,295.642421288802,167.315199575098,63.634802056782,68.2721435095274,266.022523912034,224.973858658128,283.41905374023,262.783942558296,294.946662900864,266.29536195666,268.953951522339,294.422085759858,104.929506435991,278.542465785095,28.7548834697504,125.580014312188,206.719910610343,33.3990304375701
"Myotis blythii",41.0587112286549,461.225267937789,299.04103870867,167.315199575097,652.358853369627,114.101592716676,34.3265431028787,214.904390227206,330.928329565772,291.798294367227,210.765135823303,295.440419206357,274.597309046755,211.549429001956,501.506375290223,74.4052466320129,212.132972317046,188.407078318117,234.838972769558,521.491251535718,123.317579857452
"Myotis capaccinii",4.9003151854453,120.427310630233,113.8983216754,63.6348020567822,114.101592716676,130.809205929244,1.9532614902117,58.5883049016706,108.373536142632,104.248985568298,69.6174681565466,108.948242945567,77.7787254729716,81.7204473294106,122.044860377574,15.7994206499884,75.6119600581826,56.4184797587053,114.720633225562,119.56705412663,52.4030729052881
"Myotis dasycneme",680.564048451172,241.598897809092,15.9386382365486,68.2721435095275,34.3265431028786,1.9532614902117,769.33532631688,690.798562234375,34.992138245247,93.9331397446657,233.939664155148,261.854621246178,385.922312046995,368.189555186281,283.224161705798,79.0076441316463,378.493783224747,2.0029193247473,5.32920178826175,25.1675055841871,0
"Myotis emarginatus",1110.11120472061,610.414830623969,177.984587258545,266.022523912033,214.904390227206,58.5883049016705,690.798562234374,1920.42843369753,254.780456294904,326.669365548999,504.586648933599,585.401190613846,744.032120141131,679.729942374312,672.794599318584,223.539498735604,771.775866536443,23.7819326523061,133.911240224252,272.283911245018,62.6259419981653
"Myotis daubentonii",60.0795018452122,431.932242775453,254.94371559786,224.973858658125,330.928329565773,108.373536142632,34.992138245247,254.780456294904,483.738024029229,296.401094996016,250.725263260567,333.055364294927,265.98044849684,250.594028591598,420.30335320901,98.3904382997798,270.725688803697,111.353380854867,230.727771489642,361.954424550129,116.097583404697
"Myotis myotis",117.457410835068,441.337078152159,273.183961006402,283.419053740233,291.798294367227,104.248985568298,93.9331397446656,326.669365549,296.40109499602,443.079679625344,327.174004817824,391.906082151278,313.042107128077,321.806014046978,442.128748416244,126.422111836295,338.104532914938,44.8116329037927,206.009328242726,329.206974027979,79.2040890871535
