name,H.name,P.name,sequenced from bat,resid,sq,mean,upper,PACo.sig1,PACo.sig2,Host,Parasite,F1.stat,p.F1,supported,highly supported,community,same community,community with same family,c.col,b.col,weight,order
Ept.ser-OTU1,Ept.ser,OTU1,yes,0.562268127,0.316145447,0.292009379,0.365794654,0,0,2,1,-0.405151394,0.966,0,0,VespC-Min/Myo,0,1,#bebebe20,#bebebe,0.015625,3
Min.sch-OTU1,Min.sch,OTU1,yes,0.621678478,0.38648413,0.396794403,0.612769665,0,0,3,1,0.331863059,0.121,0,0,Min/Myo,1,same,#e7298a20,#e7298a,0.289156627,7
Myo.bly-OTU1,Myo.bly,OTU1,yes,0.489457447,0.239568592,0.237060128,0.339021707,1,0,5,1,-0.431948046,0.979,1,0,Min/Myo,1,same,#e7298a80,#e7298a,0.020618557,16
Myo.dau-OTU1,Myo.dau,OTU1,no,0.508285619,0.258354271,0.300231877,0.421775506,0,0,8,1,-0.444136467,0.968,0,0,VespA-Min/Myo,0,1,#bebebe20,#bebebe,0.017857143,35
Pip.pyg-OTU1,Pip.pyg,OTU1,yes,0.573446422,0.328840799,0.356504777,0.425051288,0,0,16,1,-0.464596855,0.966,0,0,VespB-Min/Myo,0,1,#bebebe20,#bebebe,0.01754386,58
Rhi.eur-OTU1,Rhi.eur,OTU1,yes,0.662835425,0.439350801,0.490706978,0.608967053,0,0,19,1,1.357364076,0.001,0,1,Rhi-Min/Myo,0,0,#bebebe,#bebebe,0.011764706,68
Min.sch-OTU2,Min.sch,OTU2,yes,0.603528573,0.364246738,0.404025023,0.622595095,0,0,3,2,0.343823112,0.141,0,0,Min/Myo,1,same,#e7298a20,#e7298a,0.082644628,8
Min.sch-OTU3,Min.sch,OTU3,yes,0.633945997,0.401887527,0.385139464,0.59709341,0,0,3,3,0.300295434,0.135,0,0,Min/Myo-VespA,0,1,#bebebe20,#bebebe,0.140350877,9
Myo.bec-OTU3,Myo.bec,OTU3,no,0.501712899,0.251715833,0.30857008,0.418397279,0,0,4,3,-0.389191474,0.953,0,0,VespA,1,same,#1b9e7720,#1b9e77,0.04109589,31
Myo.bly-OTU3,Myo.bly,OTU3,yes,0.472944269,0.223676282,0.206973953,0.316653555,1,0,5,3,-0.364645457,0.952,1,0,Min/Myo-VespA,0,1,#bebebe80,#bebebe,0.029411765,17
