"","resid","mean","upper","Host","Parasite","F1.stat","p.F1","F2.stat","p.F2","col","sig"
"Ept.ser-OTU1",0.5622681268855,0.292009379497117,0.36579465436938,2,1,-0.405151393872107,0.966,NA,NA,"grey","#000000FF"
"Min.sch-OTU1",0.621678478332055,0.396794403289735,0.612769665194941,3,1,0.331863059433964,0.121,NA,NA,"grey","#000000CC"
"Myo.bly-OTU1",0.48945744693335,0.237060128291992,0.339021706851051,5,1,-0.431948045968134,0.979,NA,NA,"grey","#000000FF"
"Myo.dau-OTU1",0.508285619045676,0.300231876883779,0.421775506366153,8,1,-0.444136467092733,0.968,NA,NA,"grey","#000000FF"
"Pip.pyg-OTU1",0.573446422352035,0.356504777392697,0.425051288315305,16,1,-0.464596855112269,0.966,NA,NA,"grey","#000000FF"
"Rhi.eur-OTU1",0.662835425078376,0.490706977501943,0.608967053279138,19,1,1.3573640761187,0.001,NA,NA,"green4","#000000CC"
"Min.sch-OTU2",0.603528572866916,0.404025023361623,0.622595095168794,3,2,0.34382311185233,0.141,NA,NA,"grey","#000000CC"
"Min.sch-OTU3",0.633945996840029,0.385139463647495,0.597093409760881,3,3,0.30029543435327,0.135,NA,NA,"grey","#000000CC"
"Myo.bec-OTU3",0.501712899349542,0.308570080335226,0.41839727880553,4,3,-0.389191474149186,0.953,NA,NA,"grey","#000000FF"
"Myo.bly-OTU3",0.472944269266152,0.206973953342218,0.316653555197797,5,3,-0.364645457387116,0.952,NA,NA,"grey","#000000FF"
"Myo.dau-OTU3",0.504699957414373,0.345781370295667,0.477153269394215,8,3,-0.391964036217264,0.959,NA,NA,"grey","#000000FF"
"Myo.myo-OTU3",0.478690504246268,0.249160663001753,0.356661258630765,10,3,-0.364883938709752,0.947,NA,NA,"grey","#000000FF"
"Myo.nat-OTU3",0.477840294714575,0.345897949468267,0.489849919686725,12,3,-0.345376279397538,0.935,NA,NA,"grey","#000000FF"
"Rhi.fer-OTU3",0.660321591871198,0.393140073132107,0.519067335415502,20,3,1.2616325266337,0.002,NA,NA,"green4","#000000CC"
"Rhi.eur-OTU4",0.600943829281319,0.376237206542091,0.509064900548146,19,4,1.92478357953642,0.001,NA,NA,"green4","#000000FF"
"Rhi.fer-OTU4",0.640991156685786,0.501385583280883,0.600601054229,20,4,1.81351519386133,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU4",0.59956194389262,0.417992497445673,0.545317001874194,21,4,1.92803695394939,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU5",0.595516814961501,0.392535901915145,0.523949449217268,21,5,1.87915380578718,0.001,NA,NA,"green4","#000000CC"
"Myo.bly-OTU11",0.489425045647397,0.212275380098562,0.292049966350772,5,6,-0.666070170308224,1,NA,NA,"grey","#000000FF"
"Rhi.bla-OTU11",0.573834745913347,0.402663270778954,0.533362177676109,18,6,2.07363473702805,0.001,NA,NA,"green4","#000000CC"
"Rhi.eur-OTU11",0.603904689065102,0.444172814545789,0.549016474021906,19,6,2.13368254907327,0.001,NA,NA,"green4","#000000CC"
"Rhi.fer-OTU11",0.613761806090871,0.479504956870225,0.572637274077217,20,6,2.04330820648628,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU11",0.607930542183765,0.432615299397783,0.546320911348034,21,6,2.13376292082187,0.001,NA,NA,"green4","#000000CC"
"Min.sch-OTU16",0.656338566031028,0.467547518263856,0.600568163589138,3,7,0.198667939363911,0.189,NA,NA,"grey","#000000CC"
