"","Ept.nil","Ept.ser","Min.sch","Myo.bec","Myo.bly","Myo.cap","Myo.das","Myo.dau","Myo.ema","Myo.myo","Myo.mys","Myo.nat","Nyc.noc","Pip.nat","Pip.pip","Pip.pyg","Ple.aur","Rhi.bla","Rhi.eur","Rhi.fer","Rhi.meh"
"Ept.nil",0,0.113942750462714,0.904316980027196,0.724121193766457,0.724121185093678,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.653939449602869,0.653939449602869,0.653939458275649,0.653939449602869,0.670359718269964,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Ept.ser",0.113942750462714,0,0.904316980027196,0.724121193766457,0.724121185093678,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.724121193766457,0.653939449602869,0.653939449602869,0.653939458275649,0.653939449602869,0.670359718269964,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Min.sch",0.904316980027196,0.904316980027196,0,0.904316980027196,0.904316971354417,0.904316980027196,0.904316980027196,0.904316980027196,0.904316980027196,0.904316980027196,0.904316980027196,0.904316980027196,0.904316997372755,0.904316997372755,0.904317006045534,0.904316997372755,0.904316988699975,1,1,1,1
"Myo.bec",0.724121193766457,0.724121193766457,0.904316980027196,0,0.477394972858103,0.503854157153712,0.503854157153712,0.385961476034205,0.537699245181989,0.477394981530883,0.569302246275887,0.477394981530883,0.724121211112016,0.724121211112016,0.724121219784795,0.724121211112016,0.724121202439237,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Myo.bly",0.724121185093678,0.724121185093678,0.904316971354417,0.477394972858103,0,0.503854148480932,0.503854148480932,0.477394972858103,0.53769923650921,0.0667496044562128,0.569302237603107,0.37305363099353,0.724121202439237,0.724121202439237,0.724121211112016,0.724121202439237,0.724121193766457,0.999999965308882,0.999999965308882,0.999999965308882,0.999999965308882
"Myo.cap",0.724121193766457,0.724121193766457,0.904316980027196,0.503854157153712,0.503854148480932,0,0.474354912162524,0.503854157153712,0.537699245181989,0.503854157153712,0.569302246275887,0.503854157153712,0.724121211112016,0.724121211112016,0.724121219784795,0.724121211112016,0.724121202439237,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Myo.das",0.724121193766457,0.724121193766457,0.904316980027196,0.503854157153712,0.503854148480932,0.474354912162524,0,0.503854157153712,0.537699245181989,0.503854157153712,0.569302246275887,0.503854157153712,0.724121211112016,0.724121211112016,0.724121219784795,0.724121211112016,0.724121202439237,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Myo.dau",0.724121193766457,0.724121193766457,0.904316980027196,0.385961476034205,0.477394972858103,0.503854157153712,0.503854157153712,0,0.537699245181989,0.477394981530883,0.569302246275887,0.477394981530883,0.724121211112016,0.724121211112016,0.724121219784795,0.724121211112016,0.724121202439237,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Myo.ema",0.724121193766457,0.724121193766457,0.904316980027196,0.537699245181989,0.53769923650921,0.537699245181989,0.537699245181989,0.537699245181989,0,0.537699245181989,0.569302246275887,0.537699245181989,0.724121211112016,0.724121211112016,0.724121219784795,0.724121211112016,0.724121202439237,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
"Myo.myo",0.724121193766457,0.724121193766457,0.904316980027196,0.477394981530883,0.0667496044562128,0.503854157153712,0.503854157153712,0.477394981530883,0.537699245181989,0,0.569302246275887,0.37305363966631,0.724121211112016,0.724121211112016,0.724121219784795,0.724121211112016,0.724121202439237,0.999999973981662,0.999999973981662,0.999999973981662,0.999999973981662
