"","mean","lower","median","upper","samples","OTUs","ectos","studies"
"Ept.nil",0.45908468976009,0.35785879896842,0.441594879756728,0.650066080315808,1,1,5,20
"Ept.ser",1.06968247706849,0.925625949074878,1.0576543887042,1.2941741682652,10,5,11,34
"Min.sch",4.07333293922628,3.69609468494875,4.05022274127747,4.57153379995578,111,9,7,45
"Myo.bec",1.35510453465972,1.20253320353821,1.34298588128878,1.60830588051558,13,4,8,36
"Myo.bly",2.71367670503618,2.43559185142473,2.68391441036806,3.08166000101353,42,9,12,49
"Myo.cap",0.459084689760094,0.357858798968414,0.441594879756725,0.650066080315812,1,1,6,29
"Myo.das",2.78140312381167,2.48075521845837,2.75555248713279,3.12017945826322,80,4,11,24
"Myo.dau",3.05754260173852,2.78798158702899,3.02823184497315,3.43572551634589,57,8,15,81
"Myo.ema",1.52830958411205,1.36479510854415,1.50576163060548,1.78736280124807,18,5,8,17
"Myo.myo",2.07654323965791,1.87032899449695,2.05435247513217,2.40123539834974,26,5,14,85
"Myo.mys",0.459084689760093,0.357858798968414,0.441594879756725,0.650066080315811,1,1,12,23
"Myo.nat",0.941034008855417,0.790348283224542,0.926965022297356,1.14498777154706,4,2,11,52
"Nyc.noc",0.771117375179485,0.624922931899891,0.760575399156224,0.962581431539214,4,3,9,24
"Pip.nat",1.05770019029447,0.885008430687397,1.04758826693545,1.27610439854877,26,3,7,15
"Pip.pip",0.776944741122824,0.65091087051558,0.769363773693977,0.971406324463226,4,2,9,48
"Pip.pyg",0.613161558566207,0.500108552853685,0.598966755979313,0.801494016005366,2,2,3,13
"Ple.aur",0.639523633542833,0.516155538146174,0.627512426695192,0.832043262302256,5,1,13,42
"Rhi.bla",0.783718647283406,0.666012676314437,0.762516286517964,0.988656709242812,3,2,4,14
"Rhi.eur",1.31085267792469,1.14345267333597,1.2936771635922,1.52095116527796,30,4,6,23
"Rhi.fer",1.69391618763267,1.54120612578968,1.66319369817982,2.00883347612677,18,6,10,38
"Rhi.meh",0.628562908991155,0.505272753933255,0.613377302522058,0.827358507791911,5,4,4,12
