"","x"
"1",3267
"2",3268
"3",3269
"4",3270
"5",3271
"6",3272
"7",1550
"8",7344
"9",10810
"10",10811
"11",10812
"12",10813
"13",10814
"14",5828
"15",5829
"16",5830
"17",5831
"18",5832
"19",5833
"20",12307
"21",12308
"22",12309
"23",12310
"24",12311
"25",12312
"26",12313
"27",12314
"28",7679
"29",7680
"30",7681
"31",7682
"32",5004
"33",5005
"34",5006
"35",5007
"36",5008
"37",5009
"38",5010
"39",10762
"40",2101
"41",2102
"42",2103
"43",2104
"44",2105
"45",3422
"46",3423
"47",3424
"48",3425
"49",3426
"50",3427
"51",3428
"52",3429
"53",3430
"54",12425
"55",7259
"56",7260
"57",7261
"58",7262
"59",7263
"60",7264
"61",10587
"62",10588
"63",10589
"64",10590
"65",10591
"66",10592
"67",10593
"68",10594
"69",10595
"70",10596
"71",10597
"72",10598
"73",10599
"74",7549
"75",10679
"76",10680
"77",10681
"78",10682
"79",10683
"80",10684
"81",10685
"82",10686
"83",7191
"84",10964
"85",10965
"86",10966
"87",11827
"88",11828
"89",11829
"90",11830
"91",11831
"92",11832
"93",11833
"94",6343
"95",6344
"96",6345
"97",6346
"98",6347
"99",6348
"100",6349
"101",6350
"102",6351
"103",6352
"104",6353
"105",6354
"106",6355
"107",6356
"108",6357
"109",6358
"110",6359
"111",6360
"112",7910
"113",7911
"114",7912
"115",7913
"116",7914
