"","x"
"1",19587
"2",19588
"3",19589
"4",19590
"5",19591
"6",19592
"7",19593
"8",19594
"9",35043
"10",35044
"11",35045
"12",35046
"13",35047
"14",35048
"15",35049
"16",35050
"17",35051
"18",35052
"19",35053
"20",35054
"21",35055
"22",35056
"23",35057
"24",35058
"25",35059
"26",35060
"27",35061
"28",35062
"29",35063
"30",35064
"31",35065
"32",35066
"33",35067
"34",35068
"35",35069
"36",35070
"37",35071
"38",35072
"39",35073
"40",35074
"41",35075
"42",35076
"43",35077
"44",35078
"45",35079
"46",35080
"47",35081
"48",35082
"49",35083
"50",35084
"51",35085
"52",35086
"53",35087
"54",35088
"55",35089
"56",35090
"57",35091
"58",35092
"59",35093
"60",25553
"61",25554
"62",25555
"63",25556
"64",25557
"65",25558
"66",25559
"67",25560
"68",25561
"69",25562
"70",25563
"71",25564
"72",25565
"73",25566
"74",25567
"75",25568
"76",23718
"77",23719
"78",23720
"79",23721
"80",23722
"81",23723
"82",23724
"83",23725
"84",23726
"85",23727
"86",23728
"87",23729
"88",23730
"89",41313
"90",41314
"91",41315
"92",41316
"93",41317
"94",41318
"95",41319
"96",41320
"97",41321
"98",41322
"99",41323
"100",41324
"101",41325
"102",41326
"103",41327
"104",41328
"105",41329
"106",41330
"107",41331
"108",41332
"109",41333
"110",41334
"111",41335
"112",41336
"113",41337
"114",41338
"115",41339
"116",41340
"117",41341
"118",41342
"119",41343
"120",41344
"121",41345
"122",41346
"123",41347
"124",41348
"125",41349
"126",41350
"127",41351
"128",41352
"129",41353
"130",41354
"131",41355
"132",41356
"133",41357
"134",41358
"135",41359
"136",41360
"137",41361
"138",41362
"139",41363
"140",41364
"141",41365
"142",41366
"143",41367
"144",41368
"145",41369
"146",41370
"147",41371
"148",41372
"149",41373
"150",41374
"151",41375
"152",41376
"153",41377
"154",41378
"155",41379
"156",41380
"157",41381
"158",41382
"159",41383
"160",41384
"161",41385
"162",41386
"163",41387
"164",41388
"165",41389
"166",41390
"167",41391
"168",41392
"169",18481
"170",18482
"171",18483
"172",18484
"173",18485
"174",18486
"175",18487
"176",18488
"177",18489
"178",18490
"179",18491
"180",18492
"181",18493
"182",18494
"183",18495
"184",18496
"185",18497
"186",18498
"187",18499
"188",18500
"189",18501
"190",18502
"191",18503
"192",18504
"193",18505
"194",18506
"195",18507
"196",18508
"197",18509
"198",18510
"199",18511
"200",18512
"201",18513
"202",18514
"203",18515
"204",18516
"205",18517
"206",18518
"207",17746
"208",17747
"209",17748
"210",17749
"211",17750
"212",17751
"213",17752
"214",38593
"215",38594
"216",38595
"217",38596
"218",38597
"219",38598
"220",38599
"221",38600
"222",38601
"223",38602
"224",38603
"225",38604
"226",38605
"227",38606
"228",38607
"229",38608
"230",13913
"231",13914
"232",13915
"233",13916
"234",13917
"235",13918
"236",13919
"237",13920
"238",13921
"239",13922
"240",13923
"241",13924
"242",13925
"243",13926
"244",13927
"245",13928
"246",13929
"247",13930
"248",13931
"249",13932
"250",13933
"251",13934
"252",13935
"253",13936
"254",13937
"255",13938
"256",13939
"257",13940
"258",13941
"259",13942
"260",13943
"261",13944
"262",13945
"263",13946
"264",13947
"265",13948
"266",13949
"267",13950
"268",13951
"269",13952
"270",13953
"271",13954
"272",13955
"273",13956
"274",13957
"275",13958
"276",13959
"277",13960
"278",13961
"279",13962
"280",13963
"281",13964
"282",13965
"283",13966
"284",13967
"285",13968
"286",13969
"287",13970
"288",13971
"289",13972
"290",13973
"291",13974
"292",13975
"293",13976
"294",13977
"295",13978
"296",13979
"297",13980
"298",13981
"299",13982
"300",13983
"301",13984
"302",13985
"303",13986
"304",13987
"305",13988
"306",13989
"307",13990
"308",13991
"309",13992
"310",13993
"311",13994
"312",13995
"313",13996
"314",13997
"315",13998
"316",13999
"317",14000
"318",14001
"319",14002
"320",14003
"321",14004
"322",14005
"323",14006
"324",14007
"325",14008
"326",14009
"327",14010
"328",14011
"329",14012
"330",14013
"331",14014
"332",14015
"333",14016
"334",14017
"335",14018
"336",14019
"337",14020
"338",14021
"339",14022
"340",14023
"341",14024
"342",14025
"343",14026
"344",14027
"345",14028
"346",14029
"347",14030
"348",14031
"349",14032
"350",14033
"351",14034
"352",14035
"353",14036
"354",14037
"355",14038
"356",14039
"357",14040
"358",14041
"359",14042
"360",14043
"361",14044
"362",14045
"363",14046
"364",14047
"365",14048
"366",14049
"367",14050
"368",14051
"369",14052
"370",14053
"371",14054
"372",14055
"373",14056
"374",14057
"375",14058
"376",14059
"377",14060
"378",14061
"379",14062
"380",14063
"381",14064
"382",14065
"383",14066
"384",14067
"385",14068
"386",14069
"387",14070
"388",14071
"389",14072
"390",14073
"391",14074
"392",14075
"393",14076
"394",14077
